#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                  Branch is bug-fixes                                
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
#     |k| (a.u.)         b1                 b2                 b3                 b4                 b5                 b6                 b7                 b8                 b9                 b10               k_x (rlu)          k_y (rlu)          k_z (rlu)
#
      0.249385417        -46.0983200        -21.0655708        -1.79504573       -0.157144263       -0.157549903         14.4587088         21.8943825         24.5793362         24.5823517         31.7759666        0.323170751        0.323170751        0.323170751   
      0.257984906        -46.0991669        -21.0727234        -1.75772417       -0.152991414       -0.154080346         14.4364777         21.9466019         24.6348381         24.6376534         31.6744995        0.317073196        0.317073196        0.317073196   
      0.266584426        -46.1000252        -21.0799770        -1.71953976       -0.148892611       -0.150408566         14.4127159         22.0025768         24.6922092         24.6943111         31.5739536        0.310975641        0.310975641        0.310975641   
      0.275183916        -46.1008987        -21.0873280        -1.68047333       -0.144929051       -0.146526411         14.3874159         22.0622711         24.7514248         24.7524109         31.4753361        0.304878056        0.304878056        0.304878056   
      0.283783406        -46.1017838        -21.0947609        -1.64052629       -0.141115069       -0.142477274         14.3606024         22.1255722         24.8123798         24.8121071         31.3792667        0.298780531        0.298780531        0.298780531   
      0.292382926        -46.1026802        -21.1022663        -1.59972894       -0.137396708       -0.138348475         14.3323193         22.1923370         24.8749447         24.8735714         31.2860680        0.292682946        0.292682946        0.292682946   
      0.300982416        -46.1035843        -21.1098309        -1.55813861       -0.133679882       -0.134243324         14.3026180         22.2624168         24.9389915         24.9369316         31.1958981        0.286585361        0.286585361        0.286585361   
      0.309581906        -46.1044960        -21.1174431        -1.51583350       -0.129872054       -0.130244121         14.2715435         22.3356857         25.0044556         25.0022449         31.1088142        0.280487806        0.280487806        0.280487806   
      0.318181396        -46.1054153        -21.1250954        -1.47290480       -0.125920713       -0.126380205         14.2391396         22.4120579         25.0713158         25.0694981         31.0246754        0.274390280        0.274390280        0.274390280   
      0.326780885        -46.1063423        -21.1327724        -1.42945206       -0.121830724       -0.122613981         14.2054615         22.4914951         25.1395931         25.1386166         30.9430923        0.268292725        0.268292725        0.268292725   
      0.335380375        -46.1072731        -21.1404648        -1.38558078       -0.117659055       -0.118851334         14.1705856         22.5740242         25.2092991         25.2094765         30.8635216        0.262195170        0.262195170        0.262195170   
      0.343979895        -46.1082039        -21.1481571        -1.34139347       -0.113490097       -0.114973627         14.1345940         22.6597557         25.2804012         25.2819233         30.7854767        0.256097555        0.256097555        0.256097555   
      0.352579385        -46.1091385        -21.1558437        -1.29697669       -0.109405749       -0.110882297         14.0975647         22.7488670         25.3528194         25.3558197         30.7087536        0.250000030        0.250000030        0.250000030   
      0.361178875        -46.1100731        -21.1635075        -1.25238431       -0.105457351       -0.106539339         14.0595579         22.8415756         25.4264584         25.4310608         30.6334610        0.243902475        0.243902475        0.243902475   
      0.369778365        -46.1110039        -21.1711445        -1.20763898       -0.101647697       -0.101988286         14.0206099         22.9380894         25.5012512         25.5075741         30.5598373        0.237804905        0.237804905        0.237804905   
      0.378377885        -46.1119347        -21.1787357        -1.16274285       -0.979277343E-1    -0.973446369E-1      13.9807587         23.0385513         25.5771770         25.5852966         30.4879513        0.231707335        0.231707335        0.231707335   
      0.386977375        -46.1128578        -21.1862774        -1.11770058       -0.942105949E-1    -0.927603021E-1      13.9400597         23.1430645         25.6542721         25.6641273         30.4174137        0.225609779        0.225609779        0.225609779   
      0.395576864        -46.1137810        -21.1937542        -1.07253659       -0.904013366E-1    -0.883761868E-1      13.8986015         23.2517204         25.7325993         25.7439079         30.3473587        0.219512224        0.219512224        0.219512224   
      0.404176354        -46.1146927        -21.2011585        -1.02730012       -0.864320695E-1    -0.842838958E-1      13.8564968         23.3646584         25.8122311         25.8244247         30.2765923        0.213414654        0.213414654        0.213414654   
      0.412775844        -46.1155968        -21.2084770       -0.982056141       -0.822863877E-1    -0.805081874E-1      13.8138742         23.4820709         25.8932571         25.9054489         30.2039909        0.207317099        0.207317099        0.207317099   
      0.421375364        -46.1164932        -21.2157021       -0.936875999       -0.780037865E-1    -0.770123228E-1      13.7708683         23.6041431         25.9757843         25.9867706         30.1289577        0.201219529        0.201219529        0.201219529   
      0.429974854        -46.1173782        -21.2228222       -0.891836762       -0.736626238E-1    -0.737174824E-1      13.7276230         23.7309437         26.0598907         26.0682526         30.0517540        0.195121974        0.195121974        0.195121974   
      0.438574344        -46.1182480        -21.2298279       -0.847023427       -0.693517551E-1    -0.705262646E-1      13.6842756         23.8623505         26.1455879         26.1498680         29.9735699        0.189024404        0.189024404        0.189024404   
      0.447173834        -46.1191101        -21.2367096       -0.802535117       -0.651459843E-1    -0.673457608E-1      13.6409464         23.9980221         26.2327385         26.2317276         29.8962440        0.182926849        0.182926849        0.182926849   
      0.455773354        -46.1199570        -21.2434616       -0.758478224       -0.610917136E-1    -0.641066805E-1      13.5977316         24.1374588         26.3210793         26.3140659         29.8217545        0.176829278        0.176829278        0.176829278   
      0.464372844        -46.1207848        -21.2500687       -0.714956045       -0.572051816E-1    -0.607765540E-1      13.5546989         24.2800846         26.4102783         26.3971558         29.7517033        0.170731723        0.170731723        0.170731723   
      0.472972333        -46.1215973        -21.2565269       -0.672059953       -0.534770489E-1    -0.573608689E-1      13.5118990         24.4253292         26.5000439         26.4812202         29.6870079        0.164634153        0.164634153        0.164634153   
      0.481571823        -46.1223907        -21.2628250       -0.629873097       -0.498835817E-1    -0.538906194E-1      13.4693947         24.5726223         26.5901375         26.5663948         29.6278248        0.158536598        0.158536598        0.158536598   
      0.490171313        -46.1231689        -21.2689571       -0.588475823       -0.464016795E-1    -0.503975898E-1      13.4272699         24.7214088         26.6802616         26.6527920         29.5736752        0.152439058        0.152439058        0.152439058   
      0.498770833        -46.1239204        -21.2749138       -0.547950745       -0.430268198E-1    -0.468921028E-1      13.3856277         24.8711433         26.7698746         26.7406731         29.5235386        0.146341473        0.146341473        0.146341473   
      0.507370293        -46.1246529        -21.2806854       -0.508379102       -0.397854149E-1    -0.433561504E-1      13.3445807         25.0213566         26.8580780         26.8305607         29.4759388        0.140243903        0.140243903        0.140243903   
      0.515969753        -46.1253624        -21.2862682       -0.469829321       -0.367305540E-1    -0.397571251E-1      13.3042316         25.1717892         26.9437428         26.9231243         29.4290848        0.134146363        0.134146363        0.134146363   
      0.524569213        -46.1260490        -21.2916546       -0.432351947       -0.339194611E-1    -0.360761024E-1      13.2646780         25.3225269         27.0258961         27.0188618         29.3811989        0.128048807        0.128048807        0.128048807   
      0.533168733        -46.1267090        -21.2968349       -0.395988673       -0.313783810E-1    -0.323342234E-1      13.2260294         25.4740677         27.1042328         27.1176682         29.3310089        0.121951215        0.121951215        0.121951215   
      0.541768193        -46.1273460        -21.3018074       -0.360785395       -0.290788580E-1    -0.286026355E-1      13.1884232         25.6272469         27.1795025         27.2185230         29.2781734        0.115853667        0.115853667        0.115853667   
      0.550367653        -46.1279526        -21.3065586       -0.326802701       -0.269369092E-1    -0.249922480E-1      13.1520271         25.7830429         27.2535515         27.3195534         29.2233887        0.109756112        0.109756112        0.109756112   
      0.558967113        -46.1285324        -21.3110905       -0.294114649       -0.248373933E-1    -0.216287822E-1      13.1170187         25.9423084         27.3289433         27.4183903         29.1680584        0.103658549        0.103658549        0.103658549   
      0.567566574        -46.1290855        -21.3153915       -0.262798309       -0.226723943E-1    -0.186263788E-1      13.0835581         26.1056328         27.4082928         27.5127926         29.1135674        0.975610018E-1     0.975610018E-1     0.975610018E-1
