#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                  Branch is bug-fixes                                
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
#     |k| (a.u.)         b1                 b2                 b3                 b4                 b5                 b6                 b7                 b8                 b9                 b10               k_x (rlu)          k_y (rlu)          k_z (rlu)
#
      0.249385417        -40.9074478        -19.4881439        -1.79486871       -0.158063784       -0.157202765         10.4215260         16.7797146         19.4648781         19.4650669         27.5761356        0.323170751        0.323170751        0.323170751   
      0.257984906        -40.9082947        -19.4952946        -1.75754511       -0.153911963       -0.153727129         10.3992949         16.8319435         19.5203743         19.5203362         27.4747219        0.317073196        0.317073196        0.317073196   
      0.266584426        -40.9091568        -19.5025501        -1.71935856       -0.149814114       -0.150049210         10.3755341         16.8879299         19.5777397         19.5769596         27.3742313        0.310975641        0.310975641        0.310975641   
      0.275183916        -40.9100266        -19.5099010        -1.68028975       -0.145851463       -0.146160826         10.3502359         16.9476318         19.6369476         19.6350231         27.2756729        0.304878056        0.304878056        0.304878056   
      0.283783406        -40.9109154        -19.5173340        -1.64034045       -0.142038316       -0.142105386         10.3234234         17.0109463         19.6978989         19.6946850         27.1796646        0.298780531        0.298780531        0.298780531   
      0.292382926        -40.9118080        -19.5248394        -1.59954083       -0.138320729       -0.137970194         10.2951422         17.0777206         19.7604561         19.7561131         27.0865211        0.292682946        0.292682946        0.292682946   
      0.300982416        -40.9127159        -19.5324039        -1.55794811       -0.134604588       -0.133858606         10.2654419         17.1478119         19.8244972         19.8194351         26.9964142        0.286585361        0.286585361        0.286585361   
      0.309581906        -40.9136238        -19.5400162        -1.51564074       -0.130797356       -0.129852906         10.2343674         17.2210903         19.8899536         19.8847122         26.9093933        0.280487806        0.280487806        0.280487806   
      0.318181396        -40.9145470        -19.5476665        -1.47270966       -0.126846492       -0.125982463         10.2019653         17.2974739         19.9568062         19.9519291         26.8253174        0.274390280        0.274390280        0.274390280   
      0.326780885        -40.9154701        -19.5553455        -1.42925429       -0.122756928       -0.122209668         10.1682882         17.3769226         20.0250778         20.0210094         26.7438030        0.268292725        0.268292725        0.268292725   
      0.335380375        -40.9164009        -19.5630360        -1.38538063       -0.118585616       -0.118440442         10.1334124         17.4594650         20.0947762         20.0918293         26.6642971        0.262195170        0.262195170        0.262195170   
      0.343979895        -40.9173317        -19.5707302        -1.34119070       -0.114416964       -0.114556164         10.0974216         17.5452080         20.1658726         20.1642380         26.5863209        0.256097555        0.256097555        0.256097555   
      0.352579385        -40.9182663        -19.5784149        -1.29677129       -0.110332884       -0.110458255         10.0603952         17.6343288         20.2382832         20.2380962         26.5096684        0.250000030        0.250000030        0.250000030   
      0.361178875        -40.9192009        -19.5860806        -1.25217652       -0.106384687       -0.106108762         10.0223885         17.7270508         20.3119164         20.3132973         26.4344463        0.243902475        0.243902475        0.243902475   
