E[1] [eV],Re(eps)_f_FzB_4,Re(eps)_f_FzB_5,Re(eps)_f_FzB_6,Re(eps)_f_FzB_7,Re(eps)_f_FzB_8,Re(eps)_f_FzB_9
0.130000,1.17430600,1.00626100,1.00491100,1.00403700,1.00248000,1.00075000
0.132000,1.17432100,1.00626100,1.00491100,1.00403700,1.00248000,1.00075000
0.134000,1.17433600,1.00626100,1.00491200,1.00403700,1.00248000,1.00075000
0.136000,1.17435100,1.00626100,1.00491200,1.00403800,1.00248000,1.00075000
0.138000,1.17436600,1.00626100,1.00491200,1.00403800,1.00248000,1.00075000
0.140000,1.17438100,1.00626100,1.00491200,1.00403800,1.00248000,1.00075100
0.142000,1.17439600,1.00626200,1.00491200,1.00403800,1.00248000,1.00075100
0.144000,1.17441200,1.00626200,1.00491200,1.00403800,1.00248000,1.00075100
0.146000,1.17442700,1.00626200,1.00491200,1.00403800,1.00248000,1.00075100
0.148000,1.17444200,1.00626200,1.00491200,1.00403800,1.00248000,1.00075100
0.150000,1.17445700,1.00626200,1.00491300,1.00403800,1.00248000,1.00075100
0.152000,1.17447200,1.00626200,1.00491300,1.00403800,1.00248000,1.00075100
0.154000,1.17448700,1.00626300,1.00491300,1.00403900,1.00248100,1.00075100
0.156000,1.17450200,1.00626300,1.00491300,1.00403900,1.00248100,1.00075100
0.158000,1.17451800,1.00626300,1.00491300,1.00403900,1.00248100,1.00075100
0.160000,1.17453300,1.00626300,1.00491300,1.00403900,1.00248100,1.00075100
0.162000,1.17454800,1.00626300,1.00491300,1.00403900,1.00248100,1.00075100
0.164000,1.17456300,1.00626300,1.00491400,1.00403900,1.00248100,1.00075100
0.166000,1.17457800,1.00626400,1.00491400,1.00403900,1.00248100,1.00075100
0.168000,1.17459300,1.00626400,1.00491400,1.00403900,1.00248100,1.00075100
0.170000,1.17460800,1.00626400,1.00491400,1.00403900,1.00248100,1.00075100
0.172000,1.17462400,1.00626400,1.00491400,1.00404000,1.00248100,1.00075100
0.174000,1.17463900,1.00626400,1.00491400,1.00404000,1.00248100,1.00075100
0.176000,1.17465400,1.00626500,1.00491400,1.00404000,1.00248100,1.00075100
0.178000,1.17466900,1.00626500,1.00491400,1.00404000,1.00248100,1.00075100
0.180000,1.17468400,1.00626500,1.00491500,1.00404000,1.00248100,1.00075100
0.182000,1.17470000,1.00626500,1.00491500,1.00404000,1.00248100,1.00075100
0.184000,1.17471500,1.00626500,1.00491500,1.00404000,1.00248100,1.00075100
0.186000,1.17473000,1.00626500,1.00491500,1.00404000,1.00248100,1.00075100
0.188000,1.17474500,1.00626600,1.00491500,1.00404000,1.00248200,1.00075100
0.190000,1.17476000,1.00626600,1.00491500,1.00404000,1.00248200,1.00075100
0.192000,1.17477500,1.00626600,1.00491500,1.00404100,1.00248200,1.00075100
0.194000,1.17479100,1.00626600,1.00491500,1.00404100,1.00248200,1.00075100
0.196000,1.17480600,1.00626600,1.00491600,1.00404100,1.00248200,1.00075100
0.198000,1.17482100,1.00626600,1.00491600,1.00404100,1.00248200,1.00075100
0.200000,1.17483600,1.00626700,1.00491600,1.00404100,1.00248200,1.00075100
0.202000,1.17485100,1.00626700,1.00491600,1.00404100,1.00248200,1.00075100
0.204000,1.17486700,1.00626700,1.00491600,1.00404100,1.00248200,1.00075100
0.206000,1.17488200,1.00626700,1.00491600,1.00404100,1.00248200,1.00075100
0.208000,1.17489700,1.00626700,1.00491600,1.00404100,1.00248200,1.00075100
0.210000,1.17491200,1.00626700,1.00491700,1.00404200,1.00248200,1.00075100
0.212000,1.17492700,1.00626800,1.00491700,1.00404200,1.00248200,1.00075100
0.214000,1.17494300,1.00626800,1.00491700,1.00404200,1.00248200,1.00075100
0.216000,1.17495800,1.00626800,1.00491700,1.00404200,1.00248200,1.00075100
0.218000,1.17497300,1.00626800,1.00491700,1.00404200,1.00248300,1.00075100
0.220000,1.17498800,1.00626800,1.00491700,1.00404200,1.00248300,1.00075100
0.222000,1.17500400,1.00626900,1.00491700,1.00404200,1.00248300,1.00075100
0.224000,1.17501900,1.00626900,1.00491800,1.00404200,1.00248300,1.00075100
0.226000,1.17503400,1.00626900,1.00491800,1.00404200,1.00248300,1.00075100
0.228000,1.17504900,1.00626900,1.00491800,1.00404300,1.00248300,1.00075100
0.230000,1.17506500,1.00626900,1.00491800,1.00404300,1.00248300,1.00075100
0.232000,1.17508000,1.00626900,1.00491800,1.00404300,1.00248300,1.00075100
0.234000,1.17509500,1.00627000,1.00491800,1.00404300,1.00248300,1.00075100
0.236000,1.17511000,1.00627000,1.00491800,1.00404300,1.00248300,1.00075100
0.238000,1.17512600,1.00627000,1.00491800,1.00404300,1.00248300,1.00075100
0.240000,1.17514100,1.00627000,1.00491900,1.00404300,1.00248300,1.00075100
0.242000,1.17515600,1.00627000,1.00491900,1.00404300,1.00248300,1.00075100
0.244000,1.17517100,1.00627000,1.00491900,1.00404300,1.00248300,1.00075100
0.246000,1.17518700,1.00627100,1.00491900,1.00404300,1.00248300,1.00075100
0.248000,1.17520200,1.00627100,1.00491900,1.00404400,1.00248300,1.00075100
0.250000,1.17521700,1.00627100,1.00491900,1.00404400,1.00248300,1.00075100
0.252000,1.17523300,1.00627100,1.00491900,1.00404400,1.00248400,1.00075100
0.254000,1.17524800,1.00627100,1.00491900,1.00404400,1.00248400,1.00075100
0.256000,1.17526300,1.00627100,1.00492000,1.00404400,1.00248400,1.00075100
0.258000,1.17527800,1.00627200,1.00492000,1.00404400,1.00248400,1.00075100
0.260000,1.17529400,1.00627200,1.00492000,1.00404400,1.00248400,1.00075200
0.262000,1.17530900,1.00627200,1.00492000,1.00404400,1.00248400,1.00075200
0.264000,1.17532400,1.00627200,1.00492000,1.00404400,1.00248400,1.00075200
0.266000,1.17533900,1.00627200,1.00492000,1.00404500,1.00248400,1.00075200
0.268000,1.17535500,1.00627300,1.00492000,1.00404500,1.00248400,1.00075200
