f_FzB_1,f_FzB_2,N_common_energy_points,rms
4,5,5001,0.225083180
4,6,5001,0.226539365
4,7,5001,0.227475795
4,8,5001,0.229136012
4,9,5001,0.230970943
5,6,5001,0.001467365
5,7,5001,0.002411380
5,8,5001,0.004085490
5,9,5001,0.005936147
6,7,5001,0.000944020
6,8,5001,0.002618141
6,9,5001,0.004468812
7,8,5001,0.001674124
7,9,5001,0.003524799
8,9,5001,0.001850678
