E[1] [eV],Im(eps)_f_FzB_4,Im(eps)_f_FzB_5,Im(eps)_f_FzB_6,Im(eps)_f_FzB_7,Im(eps)_f_FzB_8,Im(eps)_f_FzB_9
0.130000,0.00075546,0.00000871,0.00000657,0.00000529,0.00000315,0.00000090
0.132000,0.00075559,0.00000871,0.00000657,0.00000529,0.00000315,0.00000090
0.134000,0.00075573,0.00000871,0.00000657,0.00000529,0.00000315,0.00000090
0.136000,0.00075587,0.00000871,0.00000657,0.00000529,0.00000315,0.00000090
0.138000,0.00075601,0.00000871,0.00000657,0.00000529,0.00000315,0.00000090
0.140000,0.00075615,0.00000871,0.00000657,0.00000529,0.00000315,0.00000090
0.142000,0.00075628,0.00000872,0.00000658,0.00000530,0.00000315,0.00000090
0.144000,0.00075642,0.00000872,0.00000658,0.00000530,0.00000315,0.00000090
0.146000,0.00075656,0.00000872,0.00000658,0.00000530,0.00000315,0.00000090
0.148000,0.00075670,0.00000872,0.00000658,0.00000530,0.00000315,0.00000090
0.150000,0.00075683,0.00000872,0.00000658,0.00000530,0.00000315,0.00000090
0.152000,0.00075697,0.00000872,0.00000658,0.00000530,0.00000315,0.00000090
0.154000,0.00075711,0.00000872,0.00000658,0.00000530,0.00000315,0.00000090
0.156000,0.00075725,0.00000872,0.00000658,0.00000530,0.00000315,0.00000090
0.158000,0.00075739,0.00000872,0.00000658,0.00000530,0.00000315,0.00000090
0.160000,0.00075752,0.00000872,0.00000658,0.00000530,0.00000315,0.00000090
0.162000,0.00075766,0.00000872,0.00000658,0.00000530,0.00000315,0.00000090
0.164000,0.00075780,0.00000872,0.00000658,0.00000530,0.00000315,0.00000090
0.166000,0.00075794,0.00000872,0.00000658,0.00000530,0.00000315,0.00000090
0.168000,0.00075808,0.00000872,0.00000658,0.00000530,0.00000315,0.00000090
0.170000,0.00075822,0.00000872,0.00000658,0.00000530,0.00000315,0.00000090
0.172000,0.00075836,0.00000872,0.00000658,0.00000530,0.00000315,0.00000090
0.174000,0.00075849,0.00000872,0.00000658,0.00000530,0.00000315,0.00000090
0.176000,0.00075863,0.00000872,0.00000658,0.00000530,0.00000315,0.00000090
0.178000,0.00075877,0.00000872,0.00000658,0.00000530,0.00000315,0.00000090
0.180000,0.00075891,0.00000872,0.00000658,0.00000530,0.00000315,0.00000090
0.182000,0.00075905,0.00000873,0.00000658,0.00000530,0.00000315,0.00000090
0.184000,0.00075919,0.00000873,0.00000658,0.00000530,0.00000315,0.00000090
0.186000,0.00075932,0.00000873,0.00000658,0.00000530,0.00000315,0.00000090
0.188000,0.00075946,0.00000873,0.00000658,0.00000530,0.00000315,0.00000090
0.190000,0.00075960,0.00000873,0.00000658,0.00000530,0.00000315,0.00000090
0.192000,0.00075974,0.00000873,0.00000658,0.00000530,0.00000315,0.00000090
0.194000,0.00075988,0.00000873,0.00000658,0.00000530,0.00000315,0.00000090
0.196000,0.00076002,0.00000873,0.00000658,0.00000530,0.00000315,0.00000090
0.198000,0.00076016,0.00000873,0.00000659,0.00000530,0.00000315,0.00000090
0.200000,0.00076030,0.00000873,0.00000659,0.00000530,0.00000315,0.00000090
0.202000,0.00076043,0.00000873,0.00000659,0.00000530,0.00000315,0.00000090
0.204000,0.00076057,0.00000873,0.00000659,0.00000530,0.00000315,0.00000090
0.206000,0.00076071,0.00000873,0.00000659,0.00000530,0.00000315,0.00000090
0.208000,0.00076085,0.00000873,0.00000659,0.00000530,0.00000315,0.00000090
0.210000,0.00076099,0.00000873,0.00000659,0.00000530,0.00000315,0.00000090
0.212000,0.00076113,0.00000873,0.00000659,0.00000530,0.00000315,0.00000090
0.214000,0.00076127,0.00000873,0.00000659,0.00000531,0.00000315,0.00000090
0.216000,0.00076141,0.00000873,0.00000659,0.00000531,0.00000315,0.00000090
0.218000,0.00076155,0.00000873,0.00000659,0.00000531,0.00000315,0.00000090
0.220000,0.00076169,0.00000873,0.00000659,0.00000531,0.00000315,0.00000090
0.222000,0.00076183,0.00000873,0.00000659,0.00000531,0.00000315,0.00000090
0.224000,0.00076197,0.00000874,0.00000659,0.00000531,0.00000315,0.00000090
0.226000,0.00076211,0.00000874,0.00000659,0.00000531,0.00000315,0.00000090
0.228000,0.00076225,0.00000874,0.00000659,0.00000531,0.00000315,0.00000090
0.230000,0.00076238,0.00000874,0.00000659,0.00000531,0.00000316,0.00000090
0.232000,0.00076252,0.00000874,0.00000659,0.00000531,0.00000316,0.00000090
