E[1] [eV],Re(eps)_nbnd_10,Re(eps)_nbnd_20,Re(eps)_nbnd_30,Re(eps)_nbnd_40,Re(eps)_nbnd_50,Re(eps)_nbnd_60,Re(eps)_nbnd_70,Re(eps)_nbnd_80
0.100000,1.00638900,1.00946300,1.01067200,1.01106300,1.01129400,1.01143100,1.01151900,1.01156400
0.102000,1.00638900,1.00946300,1.01067200,1.01106300,1.01129400,1.01143100,1.01152000,1.01156400
0.104000,1.00638900,1.00946300,1.01067300,1.01106300,1.01129400,1.01143200,1.01152000,1.01156500
0.106000,1.00638900,1.00946300,1.01067300,1.01106400,1.01129400,1.01143200,1.01152000,1.01156500
0.108000,1.00638900,1.00946400,1.01067300,1.01106400,1.01129500,1.01143200,1.01152100,1.01156500
0.110000,1.00639000,1.00946400,1.01067300,1.01106400,1.01129500,1.01143300,1.01152100,1.01156600
0.112000,1.00639000,1.00946400,1.01067400,1.01106400,1.01129500,1.01143300,1.01152100,1.01156600
0.114000,1.00639000,1.00946400,1.01067400,1.01106500,1.01129600,1.01143300,1.01152100,1.01156600
0.116000,1.00639000,1.00946500,1.01067400,1.01106500,1.01129600,1.01143300,1.01152200,1.01156700
0.118000,1.00639000,1.00946500,1.01067400,1.01106500,1.01129600,1.01143400,1.01152200,1.01156700
0.120000,1.00639100,1.00946500,1.01067500,1.01106500,1.01129700,1.01143400,1.01152200,1.01156700
0.122000,1.00639100,1.00946500,1.01067500,1.01106600,1.01129700,1.01143400,1.01152300,1.01156700
0.124000,1.00639100,1.00946600,1.01067500,1.01106600,1.01129700,1.01143500,1.01152300,1.01156800
0.126000,1.00639100,1.00946600,1.01067600,1.01106600,1.01129700,1.01143500,1.01152300,1.01156800
0.128000,1.00639100,1.00946600,1.01067600,1.01106700,1.01129800,1.01143500,1.01152300,1.01156800
0.130000,1.00639200,1.00946600,1.01067600,1.01106700,1.01129800,1.01143600,1.01152400,1.01156900
0.132000,1.00639200,1.00946700,1.01067600,1.01106700,1.01129800,1.01143600,1.01152400,1.01156900
0.134000,1.00639200,1.00946700,1.01067700,1.01106800,1.01129900,1.01143600,1.01152400,1.01156900
0.136000,1.00639200,1.00946700,1.01067700,1.01106800,1.01129900,1.01143600,1.01152500,1.01156900
0.138000,1.00639200,1.00946700,1.01067700,1.01106800,1.01129900,1.01143700,1.01152500,1.01157000
0.140000,1.00639200,1.00946800,1.01067800,1.01106800,1.01129900,1.01143700,1.01152500,1.01157000
0.142000,1.00639300,1.00946800,1.01067800,1.01106900,1.01130000,1.01143700,1.01152500,1.01157000
0.144000,1.00639300,1.00946800,1.01067800,1.01106900,1.01130000,1.01143800,1.01152600,1.01157100
0.146000,1.00639300,1.00946800,1.01067800,1.01106900,1.01130000,1.01143800,1.01152600,1.01157100
0.148000,1.00639300,1.00946900,1.01067900,1.01107000,1.01130100,1.01143800,1.01152600,1.01157100
0.150000,1.00639300,1.00946900,1.01067900,1.01107000,1.01130100,1.01143800,1.01152700,1.01157200
0.152000,1.00639400,1.00946900,1.01067900,1.01107000,1.01130100,1.01143900,1.01152700,1.01157200
0.154000,1.00639400,1.00946900,1.01067900,1.01107000,1.01130100,1.01143900,1.01152700,1.01157200
0.156000,1.00639400,1.00947000,1.01068000,1.01107100,1.01130200,1.01143900,1.01152800,1.01157200
0.158000,1.00639400,1.00947000,1.01068000,1.01107100,1.01130200,1.01144000,1.01152800,1.01157300
0.160000,1.00639400,1.00947000,1.01068000,1.01107100,1.01130200,1.01144000,1.01152800,1.01157300
0.162000,1.00639400,1.00947000,1.01068100,1.01107200,1.01130300,1.01144000,1.01152800,1.01157300
0.164000,1.00639500,1.00947100,1.01068100,1.01107200,1.01130300,1.01144000,1.01152900,1.01157400
0.166000,1.00639500,1.00947100,1.01068100,1.01107200,1.01130300,1.01144100,1.01152900,1.01157400
0.168000,1.00639500,1.00947100,1.01068200,1.01107200,1.01130300,1.01144100,1.01152900,1.01157400
0.170000,1.00639500,1.00947100,1.01068200,1.01107300,1.01130400,1.01144100,1.01153000,1.01157400
0.172000,1.00639500,1.00947200,1.01068200,1.01107300,1.01130400,1.01144200,1.01153000,1.01157500
0.174000,1.00639500,1.00947200,1.01068200,1.01107300,1.01130400,1.01144200,1.01153000,1.01157500
0.176000,1.00639600,1.00947200,1.01068300,1.01107300,1.01130500,1.01144200,1.01153000,1.01157500
0.178000,1.00639600,1.00947200,1.01068300,1.01107400,1.01130500,1.01144200,1.01153100,1.01157600
0.180000,1.00639600,1.00947300,1.01068300,1.01107400,1.01130500,1.01144300,1.01153100,1.01157600
0.182000,1.00639600,1.00947300,1.01068300,1.01107400,1.01130500,1.01144300,1.01153100,1.01157600
0.184000,1.00639600,1.00947300,1.01068400,1.01107500,1.01130600,1.01144300,1.01153200,1.01157600
0.186000,1.00639700,1.00947400,1.01068400,1.01107500,1.01130600,1.01144400,1.01153200,1.01157700
0.188000,1.00639700,1.00947400,1.01068400,1.01107500,1.01130600,1.01144400,1.01153200,1.01157700
0.190000,1.00639700,1.00947400,1.01068400,1.01107500,1.01130700,1.01144400,1.01153200,1.01157700
0.192000,1.00639700,1.00947400,1.01068500,1.01107600,1.01130700,1.01144400,1.01153300,1.01157800
0.194000,1.00639700,1.00947500,1.01068500,1.01107600,1.01130700,1.01144500,1.01153300,1.01157800
0.196000,1.00639700,1.00947500,1.01068500,1.01107600,1.01130700,1.01144500,1.01153300,1.01157800
0.198000,1.00639800,1.00947500,1.01068600,1.01107700,1.01130800,1.01144500,1.01153400,1.01157900
