E[1] [eV],Re(eps)_nk_4,Re(eps)_nk_6,Re(eps)_nk_8,Re(eps)_nk_10,Re(eps)_nk_12,Re(eps)_nk_14,Re(eps)_nk_16,Re(eps)_nk_18
0.894000,1.00647900,1.00642000,1.00643600,1.00646900,1.00644600,1.00644600,1.00641800,1.00645100
0.896000,1.00647900,1.00642100,1.00643600,1.00647000,1.00644600,1.00644600,1.00641800,1.00645100
0.898000,1.00648000,1.00642100,1.00643600,1.00647000,1.00644600,1.00644600,1.00641800,1.00645100
0.900000,1.00648000,1.00642100,1.00643600,1.00647000,1.00644600,1.00644600,1.00641800,1.00645100
0.902000,1.00648000,1.00642100,1.00643700,1.00647000,1.00644600,1.00644700,1.00641900,1.00645100
0.904000,1.00648000,1.00642100,1.00643700,1.00647000,1.00644700,1.00644700,1.00641900,1.00645200
0.906000,1.00648000,1.00642200,1.00643700,1.00647100,1.00644700,1.00644700,1.00641900,1.00645200
0.908000,1.00648000,1.00642200,1.00643700,1.00647100,1.00644700,1.00644700,1.00641900,1.00645200
0.910000,1.00648100,1.00642200,1.00643700,1.00647100,1.00644700,1.00644700,1.00641900,1.00645200
0.912000,1.00648100,1.00642200,1.00643700,1.00647100,1.00644700,1.00644700,1.00642000,1.00645200
0.914000,1.00648100,1.00642200,1.00643800,1.00647100,1.00644800,1.00644800,1.00642000,1.00645300
