E[1] [eV],Im(eps)_nk_4,Im(eps)_nk_6,Im(eps)_nk_8,Im(eps)_nk_10,Im(eps)_nk_12,Im(eps)_nk_14,Im(eps)_nk_16,Im(eps)_nk_18
7.180451,0.02321900,0.02117000,0.02112300,0.02117200,0.02120100,0.02121700,0.02122600,0.02123100
7.218045,0.02372100,0.02157000,0.02151700,0.02156700,0.02159800,0.02161400,0.02162300,0.02162900
7.255639,0.02424700,0.02198600,0.02192600,0.02197800,0.02201000,0.02202700,0.02203700,0.02204200
7.293232,0.02479900,0.02241900,0.02235100,0.02240500,0.02243900,0.02245600,0.02246700,0.02247300
7.330826,0.02537800,0.02287100,0.02279400,0.02285000,0.02288500,0.02290400,0.02291500,0.02292100
7.368421,0.02598900,0.02334200,0.02325600,0.02331400,0.02335000,0.02337000,0.02338100,0.02338800
7.406014,0.02663200,0.02383400,0.02373700,0.02379700,0.02383500,0.02385600,0.02386800,0.02387500
7.443608,0.02731100,0.02434900,0.02424000,0.02430100,0.02434200,0.02436400,0.02437600,0.02438400
7.481203,0.02803000,0.02488800,0.02476500,0.02482900,0.02487100,0.02489400,0.02490800,0.02491600
7.518797,0.02879200,0.02545300,0.02531500,0.02538000,0.02542500,0.02544900,0.02546300,0.02547200
7.556391,0.02960100,0.02604700,0.02589000,0.02595800,0.02600500,0.02603100,0.02604600,0.02605500
7.593984,0.03046300,0.02667100,0.02649400,0.02656300,0.02661300,0.02664000,0.02665700,0.02666600
7.631578,0.03138200,0.02732900,0.02712800,0.02719900,0.02725100,0.02728100,0.02729800,0.02730800
7.669173,0.03236700,0.02802200,0.02779500,0.02786800,0.02792300,0.02795400,0.02797300,0.02798400
7.706767,0.03342300,0.02875600,0.02849800,0.02857200,0.02863000,0.02866400,0.02868300,0.02869500
7.744360,0.03456100,0.02953300,0.02923900,0.02931400,0.02937600,0.02941200,0.02943300,0.02944600
7.781955,0.03579100,0.03035800,0.03002300,0.03009900,0.03016500,0.03020300,0.03022500,0.03023900
7.819549,0.03712400,0.03123700,0.03085300,0.03092900,0.03099900,0.03104000,0.03106400,0.03107900
7.857142,0.03857700,0.03217500,0.03173400,0.03181000,0.03188400,0.03192800,0.03195400,0.03197000
7.894736,0.04016700,0.03318000,0.03267100,0.03274600,0.03282400,0.03287200,0.03290000,0.03291800
7.932330,0.04191500,0.03426000,0.03367100,0.03374300,0.03382600,0.03387800,0.03390900,0.03392700
7.969924,0.04384900,0.03542500,0.03474100,0.03480800,0.03489700,0.03495200,0.03498600,0.03500700
8.007519,0.04600000,0.03668800,0.03588900,0.03594900,0.03604300,0.03610400,0.03614100,0.03616300
8.045113,0.04841100,0.03806300,0.03712600,0.03717400,0.03727400,0.03734000,0.03738100,0.03740600
8.082706,0.05113100,0.03956800,0.03846300,0.03849600,0.03860200,0.03867400,0.03871900,0.03874600
8.120299,0.05422800,0.04122700,0.03991600,0.03992700,0.04003800,0.04011700,0.04016700,0.04019700
8.157894,0.05778700,0.04306800,0.04150200,0.04148300,0.04159900,0.04168500,0.04174000,0.04177400
8.195488,0.06191800,0.04513000,0.04324400,0.04318300,0.04330300,0.04339800,0.04345900,0.04349700
8.233082,0.06677400,0.04746000,0.04517100,0.04505100,0.04517300,0.04527700,0.04534600,0.04538900
8.270677,0.07255500,0.05012500,0.04732000,0.04711700,0.04723700,0.04735100,0.04742900,0.04747900
8.308270,0.07954400,0.05321400,0.04973900,0.04941900,0.04953300,0.04965700,0.04974500,0.04980200
8.345864,0.08814000,0.05684900,0.05249400,0.05200900,0.05210600,0.05224100,0.05234100,0.05240700
8.383458,0.09892000,0.06121000,0.05567700,0.05495300,0.05501700,0.05516200,0.05527600,0.05535300
8.421052,0.11274300,0.06655800,0.05941600,0.05834400,0.05835000,0.05850100,0.05863100,0.05872200
8.458646,0.13092900,0.07328700,0.06390300,0.06231300,0.06221700,0.06236600,0.06251400,0.06262200
8.496240,0.15556200,0.08201800,0.06942800,0.06705300,0.06678000,0.06691200,0.06707800,0.06720700
8.533834,0.19004100,0.09375500,0.07645200,0.07285500,0.07227600,0.07235800,0.07254000,0.07269600
8.571428,0.24006800,0.11017300,0.08572800,0.08018100,0.07906900,0.07903800,0.07922600,0.07941300
8.609021,0.31527400,0.13408800,0.09850400,0.08977500,0.08772600,0.08746000,0.08763100,0.08785600
8.646616,0.43112000,0.17003800,0.11677100,0.10280000,0.09912100,0.09841100,0.09852300,0.09879800
8.684210,0.60609500,0.22357300,0.14297400,0.12071400,0.11440600,0.11298400,0.11302500,0.11340900
8.721804,0.83192000,0.29297500,0.17653100,0.14352300,0.13406600,0.13208900,0.13239100,0.13319200
8.759398,0.99416800,0.34596600,0.20402500,0.16481300,0.15517200,0.15489200,0.15710600,0.15941500
8.796992,0.93089800,0.33350300,0.20502200,0.17483600,0.17339200,0.18030500,0.18786800,0.19339800
8.834586,0.71613000,0.27454100,0.18786800,0.17902000,0.19406100,0.21393900,0.22893800,0.23660300
8.872180,0.51658400,0.21936500,0.17433300,0.19042100,0.22817900,0.26339900,0.27995400,0.28264300
8.909773,0.37969200,0.18342600,0.17177300,0.21603200,0.28346500,0.32384000,0.32662500,0.32082900
8.947368,0.29251200,0.16333300,0.18004200,0.26112200,0.35865100,0.37205600,0.36125700,0.34931900
8.984962,0.23708200,0.15394600,0.19902800,0.33309800,0.42630800,0.40206900,0.38710100,0.37106000
9.022555,0.20126800,0.15191100,0.23071200,0.43590300,0.45254200,0.42935600,0.40430700,0.39344900
9.060150,0.17782800,0.15546000,0.28008400,0.54285600,0.46337300,0.44880100,0.41877600,0.42532700
9.097744,0.16249900,0.16389400,0.35644400,0.58253300,0.49154200,0.45909800,0.43608000,0.47228800
9.135338,0.15273100,0.17728700,0.47417200,0.54725800,0.51915400,0.46854100,0.46596400,0.52160900
9.172933,0.14696200,0.19640300,0.64472700,0.51755300,0.52859600,0.47664900,0.51672900,0.53848700
9.210526,0.14422600,0.22280700,0.83405800,0.53783100,0.53262100,0.48749000,0.58414200,0.52193200
9.248120,0.14391800,0.25920200,0.91114400,0.59415300,0.54308900,0.51879400,0.63075200,0.51262700
9.285713,0.14567500,0.31008800,0.80858200,0.63447900,0.55187000,0.57462400,0.61726300,0.53783300
9.323307,0.14929700,0.38301000,0.65563700,0.63660900,0.54334300,0.65867900,0.57421700,0.59317400
9.360902,0.15470500,0.49078300,0.55362900,0.62557400,0.53780300,0.74836900,0.54885500,0.65440400
9.398496,0.16192200,0.65493800,0.51824900,0.63212200,0.56477700,0.77353900,0.56363600,0.70176000
9.436090,0.17106300,0.90814200,0.54488400,0.66330600,0.61789400,0.71974700,0.61634500,0.72571200
9.473684,0.18233500,1.27838900,0.63020800,0.69604000,0.69236200,0.64693300,0.68203800,0.73862000
9.511277,0.19605300,1.69751300,0.75059300,0.69060200,0.80649200,0.59992200,0.75077300,0.74409400
9.548872,0.21266100,1.87199900,0.83090700,0.63788000,0.93156700,0.59356100,0.81187000,0.72438900
9.586466,0.23276900,1.61588000,0.82728900,0.59721900,0.98930800,0.63390200,0.84251900,0.68955500
9.624060,0.25721700,1.20633000,0.78247500,0.60910300,0.94425100,0.69670000,0.85462400,0.67992700
9.661654,0.28715700,0.88279400,0.73303900,0.67169300,0.83566100,0.74913900,0.87195700,0.71841100
9.699247,0.32419800,0.67429500,0.72481300,0.75401700,0.73626200,0.81432700,0.86789000,0.79829600
9.736841,0.37061900,0.54825300,0.78844900,0.84098800,0.67738300,0.91080600,0.81691900,0.88459900
9.774436,0.42971700,0.47585600,0.91004900,0.95040200,0.65818200,0.99886700,0.75543500,0.93136500
9.812029,0.50637800,0.43993900,1.03219200,1.05399000,0.69002300,1.03544900,0.73250400,0.92590200
9.849624,0.60805000,0.43206100,1.07009800,1.13996300,0.76409600,1.04607900,0.76103500,0.90491300
9.887218,0.74641900,0.45004700,0.97053300,1.23669900,0.82005900,1.07026900,0.83357500,0.90992800
9.924811,0.94042500,0.49728700,0.82588500,1.27762300,0.82171300,1.06901000,0.93690100,0.94023500
9.962406,1.22163400,0.58355900,0.73578600,1.19702700,0.83513100,1.00415500,1.04105600,0.96954400
9.999999,1.64344400,0.72556500,0.72446500,1.03785400,0.92158100,0.90245200,1.11393500,0.98151600
