E[1] [eV],Re(eps)_nk_4,Re(eps)_nk_6,Re(eps)_nk_8,Re(eps)_nk_10,Re(eps)_nk_12,Re(eps)_nk_14,Re(eps)_nk_16,Re(eps)_nk_18
6.879699,2.42403000,2.39780600,2.39875200,2.39969200,2.40014000,2.40037100,2.40050700,2.40058400
6.917293,2.43041000,2.40364900,2.40458700,2.40554000,2.40599600,2.40623300,2.40636900,2.40645000
6.954887,2.43693300,2.40960800,2.41054100,2.41150500,2.41197100,2.41221000,2.41235100,2.41243200
6.992481,2.44359900,2.41569000,2.41661100,2.41759200,2.41806600,2.41831000,2.41845300,2.41853600
7.030074,2.45041900,2.42189700,2.42280900,2.42380400,2.42428600,2.42453400,2.42468200,2.42476400
7.067669,2.45739600,2.42823500,2.42913300,2.43014500,2.43063700,2.43088900,2.43104000,2.43112500
7.105263,2.46453800,2.43470700,2.43559300,2.43662000,2.43712100,2.43738000,2.43753200,2.43761800
7.142857,2.47185000,2.44131900,2.44218800,2.44323300,2.44374400,2.44400800,2.44416400,2.44425200
7.180451,2.47934200,2.44807400,2.44892800,2.44999100,2.45051100,2.45078100,2.45093900,2.45103000
7.218045,2.48702100,2.45498000,2.45581600,2.45689600,2.45742800,2.45770300,2.45786400,2.45795800
7.255639,2.49489400,2.46204400,2.46285600,2.46395600,2.46449900,2.46478000,2.46494600,2.46504000
7.293232,2.50297200,2.46926900,2.47005700,2.47117600,2.47173100,2.47201900,2.47218700,2.47228500
7.330826,2.51126300,2.47666300,2.47742300,2.47856200,2.47913000,2.47942400,2.47959700,2.47969800
7.368421,2.51978100,2.48423200,2.48496200,2.48612200,2.48670300,2.48700500,2.48718200,2.48728400
7.406014,2.52853400,2.49198500,2.49268100,2.49386300,2.49445700,2.49476600,2.49494800,2.49505200
7.443608,2.53753800,2.49992900,2.50058800,2.50179100,2.50240000,2.50271600,2.50290300,2.50300900
7.481203,2.54680500,2.50807300,2.50868900,2.50991500,2.51053900,2.51086400,2.51105500,2.51116400
7.518797,2.55634800,2.51642700,2.51699400,2.51824400,2.51888500,2.51921800,2.51941300,2.51952700
7.556391,2.56618800,2.52500000,2.52551300,2.52678700,2.52744500,2.52778700,2.52798700,2.52810400
