E[1] [eV],Im(eps)_nbnd_30,Im(eps)_nbnd_40,Im(eps)_nbnd_50,Im(eps)_nbnd_60,Im(eps)_nbnd_70,Im(eps)_nbnd_80,Im(eps)_nbnd_90,Im(eps)_nbnd_100,Im(eps)_nbnd_110,Im(eps)_nbnd_120,Im(eps)_nbnd_130
5.676692,0.01503700,0.01278100,0.01235700,0.01229100,0.01233600,0.01234100,0.01234100,0.01234100,0.01234100,0.01234100,0.01234100
5.714285,0.01520600,0.01291200,0.01248200,0.01241500,0.01246000,0.01246600,0.01246600,0.01246600,0.01246600,0.01246600,0.01246600
5.751880,0.01537900,0.01304700,0.01261000,0.01254200,0.01258800,0.01259300,0.01259400,0.01259400,0.01259400,0.01259400,0.01259300
5.789474,0.01555700,0.01318400,0.01274000,0.01267100,0.01271800,0.01272400,0.01272400,0.01272400,0.01272400,0.01272400,0.01272400
5.827067,0.01573900,0.01332400,0.01287400,0.01280400,0.01285200,0.01285700,0.01285800,0.01285800,0.01285800,0.01285800,0.01285800
5.864661,0.01592600,0.01346800,0.01301100,0.01294000,0.01298800,0.01299400,0.01299500,0.01299500,0.01299500,0.01299500,0.01299400
5.902255,0.01611800,0.01361500,0.01315100,0.01307900,0.01312800,0.01313400,0.01313500,0.01313500,0.01313500,0.01313500,0.01313500
5.939849,0.01631400,0.01376600,0.01329400,0.01322100,0.01327200,0.01327800,0.01327800,0.01327800,0.01327800,0.01327800,0.01327800
5.977444,0.01651600,0.01392100,0.01344100,0.01336700,0.01341900,0.01342500,0.01342500,0.01342500,0.01342500,0.01342500,0.01342500
6.015037,0.01672300,0.01407900,0.01359200,0.01351600,0.01356900,0.01357500,0.01357600,0.01357600,0.01357600,0.01357600,0.01357600
6.052631,0.01693600,0.01424200,0.01374600,0.01366900,0.01372400,0.01373000,0.01373100,0.01373000,0.01373000,0.01373000,0.01373000
6.090225,0.01715500,0.01440800,0.01390400,0.01382600,0.01388200,0.01388800,0.01388900,0.01388900,0.01388900,0.01388900,0.01388800
6.127820,0.01738000,0.01457900,0.01406600,0.01398700,0.01404400,0.01405000,0.01405100,0.01405100,0.01405100,0.01405100,0.01405100
6.165413,0.01761100,0.01475400,0.01423300,0.01415200,0.01421000,0.01421700,0.01421700,0.01421700,0.01421700,0.01421700,0.01421700
6.203007,0.01784900,0.01493400,0.01440300,0.01432100,0.01438100,0.01438800,0.01438800,0.01438800,0.01438800,0.01438800,0.01438800
6.240601,0.01809300,0.01511800,0.01457800,0.01449500,0.01455600,0.01456300,0.01456300,0.01456300,0.01456300,0.01456300,0.01456300
6.278195,0.01834500,0.01530700,0.01475800,0.01467300,0.01473600,0.01474300,0.01474300,0.01474300,0.01474300,0.01474300,0.01474300
6.315789,0.01860400,0.01550200,0.01494300,0.01485600,0.01492000,0.01492700,0.01492800,0.01492800,0.01492800,0.01492800,0.01492800
6.353383,0.01887100,0.01570200,0.01513200,0.01504400,0.01511000,0.01511700,0.01511800,0.01511800,0.01511800,0.01511800,0.01511700
6.390977,0.01914600,0.01590700,0.01532700,0.01523700,0.01530400,0.01531200,0.01531300,0.01531300,0.01531300,0.01531300,0.01531200
6.428571,0.01943000,0.01611800,0.01552700,0.01543600,0.01550500,0.01551200,0.01551300,0.01551300,0.01551300,0.01551300,0.01551300
6.466165,0.01972200,0.01633500,0.01573300,0.01564000,0.01571000,0.01571800,0.01571900,0.01571900,0.01571900,0.01571900,0.01571900
6.503759,0.02002400,0.01655800,0.01594400,0.01584900,0.01592200,0.01593000,0.01593100,0.01593100,0.01593100,0.01593100,0.01593100
6.541353,0.02033500,0.01678800,0.01616200,0.01606500,0.01614000,0.01614800,0.01614900,0.01614900,0.01614900,0.01614900,0.01614900
6.578947,0.02065600,0.01702400,0.01638600,0.01628700,0.01636400,0.01637200,0.01637300,0.01637300,0.01637300,0.01637300,0.01637300
6.616541,0.02098800,0.01726800,0.01661700,0.01651600,0.01659500,0.01660300,0.01660400,0.01660400,0.01660400,0.01660400,0.01660400
6.654135,0.02133100,0.01751900,0.01685400,0.01675200,0.01683300,0.01684100,0.01684200,0.01684200,0.01684200,0.01684200,0.01684200
6.691729,0.02168600,0.01777700,0.01709900,0.01699400,0.01707800,0.01708600,0.01708700,0.01708700,0.01708700,0.01708700,0.01708700
6.729323,0.02205400,0.01804300,0.01735100,0.01724400,0.01733000,0.01733900,0.01734000,0.01734000,0.01734000,0.01734000,0.01734000
6.766917,0.02243400,0.01831800,0.01761100,0.01750200,0.01759100,0.01760000,0.01760100,0.01760100,0.01760100,0.01760100,0.01760100
6.804511,0.02282800,0.01860200,0.01788000,0.01776800,0.01785900,0.01786900,0.01787000,0.01787000,0.01787000,0.01787000,0.01787000
6.842104,0.02323600,0.01889500,0.01815700,0.01804300,0.01813700,0.01814600,0.01814800,0.01814800,0.01814800,0.01814800,0.01814700
6.879699,0.02365900,0.01919700,0.01844300,0.01832700,0.01842300,0.01843300,0.01843400,0.01843400,0.01843400,0.01843500,0.01843400
6.917293,0.02409900,0.01951000,0.01873900,0.01862000,0.01871900,0.01873000,0.01873100,0.01873100,0.01873100,0.01873100,0.01873100
6.954887,0.02455500,0.01983300,0.01904400,0.01892300,0.01902600,0.01903600,0.01903700,0.01903700,0.01903700,0.01903700,0.01903700
6.992481,0.02503000,0.02016700,0.01936000,0.01923600,0.01934200,0.01935300,0.01935400,0.01935400,0.01935400,0.01935400,0.01935400
7.030074,0.02552400,0.02051300,0.01968700,0.01956000,0.01967000,0.01968100,0.01968200,0.01968200,0.01968200,0.01968300,0.01968200
7.067669,0.02603800,0.02087200,0.02002600,0.01989600,0.02000900,0.02002100,0.02002200,0.02002200,0.02002200,0.02002200,0.02002200
7.105263,0.02657300,0.02124300,0.02037700,0.02024400,0.02036100,0.02037300,0.02037400,0.02037400,0.02037500,0.02037500,0.02037400
7.142857,0.02713200,0.02162800,0.02074100,0.02060400,0.02072600,0.02073800,0.02074000,0.02074000,0.02074000,0.02074000,0.02074000
7.180451,0.02771500,0.02202800,0.02111900,0.02097900,0.02110500,0.02111700,0.02111900,0.02111900,0.02111900,0.02111900,0.02111900
7.218045,0.02832400,0.02244300,0.02151100,0.02136700,0.02149800,0.02151100,0.02151200,0.02151200,0.02151300,0.02151300,0.02151300
7.255639,0.02896200,0.02287400,0.02191900,0.02177100,0.02190700,0.02192000,0.02192200,0.02192200,0.02192200,0.02192200,0.02192200
7.293232,0.02963000,0.02332300,0.02234300,0.02219100,0.02233200,0.02234500,0.02234700,0.02234700,0.02234700,0.02234800,0.02234700
7.330826,0.03033000,0.02379000,0.02278400,0.02262800,0.02277500,0.02278800,0.02279000,0.02279000,0.02279100,0.02279100,0.02279000
7.368421,0.03106500,0.02427600,0.02324300,0.02308300,0.02323600,0.02325000,0.02325200,0.02325200,0.02325200,0.02325300,0.02325200
7.406014,0.03183800,0.02478300,0.02372200,0.02355800,0.02371700,0.02373100,0.02373300,0.02373400,0.02373400,0.02373400,0.02373400
7.443608,0.03265200,0.02531300,0.02422200,0.02405300,0.02421900,0.02423400,0.02423600,0.02423600,0.02423600,0.02423700,0.02423600
7.481203,0.03351100,0.02586500,0.02474500,0.02457000,0.02474300,0.02475900,0.02476100,0.02476200,0.02476200,0.02476200,0.02476200
