E[1] [eV],Im(eps)_nbnd_10,Im(eps)_nbnd_20,Im(eps)_nbnd_30,Im(eps)_nbnd_40,Im(eps)_nbnd_50,Im(eps)_nbnd_60,Im(eps)_nbnd_70,Im(eps)_nbnd_80
7.180451,0.02071300,0.02107200,0.02110900,0.02111700,0.02112100,0.02112200,0.02112300,0.02112300
7.218045,0.02110600,0.02146600,0.02150200,0.02151100,0.02151400,0.02151600,0.02151600,0.02151700
7.255639,0.02151500,0.02187500,0.02191100,0.02192000,0.02192300,0.02192500,0.02192500,0.02192600
7.293232,0.02194000,0.02230000,0.02233700,0.02234500,0.02234900,0.02235000,0.02235100,0.02235100
7.330826,0.02238200,0.02274300,0.02278000,0.02278800,0.02279200,0.02279300,0.02279400,0.02279400
7.368421,0.02284300,0.02320500,0.02324100,0.02325000,0.02325300,0.02325500,0.02325600,0.02325600
7.406014,0.02332400,0.02368600,0.02372300,0.02373100,0.02373500,0.02373600,0.02373700,0.02373700
7.443608,0.02382600,0.02418900,0.02422500,0.02423400,0.02423700,0.02423900,0.02424000,0.02424000
7.481203,0.02435100,0.02471400,0.02475100,0.02475900,0.02476300,0.02476400,0.02476500,0.02476500
7.518797,0.02490000,0.02526300,0.02530000,0.02530900,0.02531200,0.02531400,0.02531400,0.02531500
7.556391,0.02547500,0.02583900,0.02587600,0.02588400,0.02588800,0.02588900,0.02589000,0.02589000
7.593984,0.02607800,0.02644300,0.02647900,0.02648800,0.02649100,0.02649300,0.02649400,0.02649400
7.631578,0.02671100,0.02707700,0.02711300,0.02712200,0.02712500,0.02712700,0.02712800,0.02712800
7.669173,0.02737800,0.02774400,0.02778000,0.02778900,0.02779200,0.02779400,0.02779500,0.02779500
7.706767,0.02808000,0.02844600,0.02848300,0.02849200,0.02849500,0.02849600,0.02849700,0.02849800
7.744360,0.02882000,0.02918700,0.02922400,0.02923300,0.02923600,0.02923800,0.02923900,0.02923900
7.781955,0.02960300,0.02997100,0.03000800,0.03001700,0.03002000,0.03002100,0.03002200,0.03002300
7.819549,0.03043300,0.03080100,0.03083800,0.03084700,0.03085000,0.03085200,0.03085200,0.03085300
7.857142,0.03131300,0.03168200,0.03171900,0.03172800,0.03173100,0.03173300,0.03173300,0.03173400
7.894736,0.03225000,0.03262000,0.03265700,0.03266500,0.03266900,0.03267000,0.03267100,0.03267100
7.932330,0.03325000,0.03362000,0.03365700,0.03366500,0.03366900,0.03367000,0.03367100,0.03367100
7.969924,0.03431900,0.03469000,0.03472700,0.03473500,0.03473900,0.03474000,0.03474100,0.03474100
8.007519,0.03546700,0.03583800,0.03587500,0.03588300,0.03588700,0.03588800,0.03588900,0.03588900
8.045113,0.03670300,0.03707400,0.03711100,0.03712000,0.03712300,0.03712500,0.03712600,0.03712600
8.082706,0.03803900,0.03841200,0.03844900,0.03845700,0.03846100,0.03846200,0.03846300,0.03846300
