E[1] [eV],Re(eps)_nbnd_10,Re(eps)_nbnd_20,Re(eps)_nbnd_30,Re(eps)_nbnd_40,Re(eps)_nbnd_50,Re(eps)_nbnd_60,Re(eps)_nbnd_70,Re(eps)_nbnd_80
6.879699,2.24016200,2.36142400,2.38447600,2.39169200,2.39525100,2.39706200,2.39812100,2.39875400
6.917293,2.24594200,2.36725500,2.39031000,2.39752700,2.40108600,2.40289700,2.40395600,2.40458900
6.954887,2.25183900,2.37320300,2.39626100,2.40347900,2.40703800,2.40884900,2.40990800,2.41054100
6.992481,2.25785600,2.37927200,2.40233300,2.40955100,2.41310900,2.41492100,2.41597900,2.41661300
7.030074,2.26399800,2.38546500,2.40852800,2.41574600,2.41930600,2.42111700,2.42217600,2.42280900
7.067669,2.27026700,2.39178600,2.41485300,2.42207100,2.42563200,2.42744200,2.42850200,2.42913400
7.105263,2.27667000,2.39824000,2.42131100,2.42853000,2.43209000,2.43390100,2.43496000,2.43559400
7.142857,2.28320900,2.40483300,2.42790600,2.43512600,2.43868600,2.44049700,2.44155700,2.44218900
7.180451,2.28989200,2.41156900,2.43464400,2.44186500,2.44542500,2.44723700,2.44829600,2.44892900
7.218045,2.29672200,2.41845200,2.44153100,2.44875200,2.45231300,2.45412400,2.45518400,2.45581700
7.255639,2.30370500,2.42548900,2.44857000,2.45579400,2.45935300,2.46116500,2.46222400,2.46285700
7.293232,2.31084800,2.43268500,2.45577100,2.46299400,2.46655400,2.46836600,2.46942500,2.47005800
7.330826,2.31815700,2.44004800,2.46313700,2.47035900,2.47392000,2.47573200,2.47679200,2.47742500
7.368421,2.32563700,2.44758300,2.47067500,2.47789900,2.48145900,2.48327200,2.48433100,2.48496300
7.406014,2.33329700,2.45529800,2.47839300,2.48561700,2.48917800,2.49099000,2.49205000,2.49268300
7.443608,2.34114400,2.46320000,2.48629800,2.49352400,2.49708500,2.49889700,2.49995600,2.50058900
7.481203,2.34918500,2.47129800,2.49440000,2.50162400,2.50518600,2.50699800,2.50805800,2.50869100
7.518797,2.35743000,2.47959800,2.50270400,2.50992900,2.51349100,2.51530300,2.51636300,2.51699500
7.556391,2.36588900,2.48811300,2.51122000,2.51844800,2.52200900,2.52382200,2.52488200,2.52551500
7.593984,2.37456900,2.49685000,2.51996200,2.52718900,2.53075100,2.53256300,2.53362300,2.53425600
7.631578,2.38348400,2.50582100,2.52893700,2.53616500,2.53972700,2.54153800,2.54259900,2.54323200
7.669173,2.39264400,2.51503900,2.53815700,2.54538600,2.54894800,2.55076000,2.55182000,2.55245300
7.706767,2.40206200,2.52451500,2.54763600,2.55486500,2.55842700,2.56024000,2.56129900,2.56193200
7.744360,2.41175000,2.53426100,2.55738600,2.56461500,2.56817900,2.56999000,2.57105000,2.57168300
7.781955,2.42172600,2.54429500,2.56742300,2.57465300,2.57821600,2.58002900,2.58108800,2.58172100
7.819549,2.43200200,2.55463100,2.57776200,2.58499200,2.58855600,2.59036900,2.59142800,2.59206200
7.857142,2.44259900,2.56528700,2.58842300,2.59565400,2.59921600,2.60102800,2.60208900,2.60272200
7.894736,2.45353700,2.57628300,2.59942200,2.60665400,2.61021700,2.61203000,2.61309000,2.61372300
7.932330,2.46483500,2.58764100,2.61078200,2.61801500,2.62157900,2.62339200,2.62445100,2.62508500
7.969924,2.47651700,2.59938400,2.62252900,2.62976200,2.63332600,2.63513900,2.63619900,2.63683200
8.007519,2.48861100,2.61153800,2.63468700,2.64192000,2.64548400,2.64729700,2.64835800,2.64899100
